a_id,user_id,repository_pair_id,annotation_date,synergy,direction,explanation
1,8,1,2020-04-28 06:15:39.160859+00:00,1,0,
2,8,2,2020-04-28 06:17:09.583797+00:00,1,0,
3,8,3,2020-04-28 06:18:08.330773+00:00,1,0,
4,8,4,2020-04-28 06:22:18.505190+00:00,3,21,"Skypipe can be integrated into Lamvery to use AWS account instead of the dotcloud account. This way, may be users can pipe logs from a Lamvery server to any other machine (which itself accumulates logs from AWS lambdas)"
5,8,5,2020-04-28 06:22:58.513519+00:00,1,0,
7,8,7,2020-04-28 06:28:48.323357+00:00,3,12,"May be the Corpus Crawler can display a world map of the supported languages (alongside the existing list). This is not necessarily to make it better, but a nice feature to have."
8,8,8,2020-04-28 06:31:25.897000+00:00,2,2,They both seem to visualize genome sequences but I am not sure if they complement each other as my background knowledge about types of genome visualizations is very limited. Therefore I cannot decide if one type of sequence can be better visualized or complemented by the other repository. 
9,8,9,2020-04-28 06:32:33.720960+00:00,1,0,
10,8,10,2020-04-28 06:33:42.030093+00:00,1,0,
11,9,1,2020-04-28 12:26:44.748893+00:00,1,0,"None None
"
12,9,2,2020-04-28 12:26:57.881211+00:00,2,12,weak 1 to 2
13,9,3,2020-04-28 12:27:08.916751+00:00,2,21,weak 2 to 1
14,9,4,2020-04-28 12:27:18.825042+00:00,2,2,weak both
15,9,5,2020-04-28 12:27:30.876235+00:00,3,12,"somewhat 1 to 2
"
16,9,6,2020-04-28 12:27:41.801838+00:00,3,21,somewhat 2 to 1
17,9,7,2020-04-28 12:28:02.369666+00:00,3,2,somewhat both
18,9,8,2020-04-28 12:28:12.189123+00:00,4,12,strong 1 to 2
19,9,9,2020-04-28 12:28:23.283464+00:00,4,21,strong 2 to 1
20,9,10,2020-04-28 12:28:32.031089+00:00,4,2,strong both
6,8,6,2020-04-28 06:26:31.272272+00:00,2,2,"They both solve the same task but with a few features missing in both. Merging them will create a more ""complete"" tool for scanning metadata for videos. "
21,8,11,2020-04-30 08:44:51.771137+00:00,4,2,Repo 1 provides an authorization-backend and Repo 2 provides model behaviours for Django applications. They both can be used together as independent modules to build a new Django application. 
22,8,12,2020-04-30 08:45:21.963955+00:00,1,0,
23,8,13,2020-04-30 08:46:01.081396+00:00,1,0,
24,8,14,2020-04-30 08:50:12.036207+00:00,1,0,"I referred to some additional resources in the README files to understand what problem they are trying to solve. Still, my background knowledge is very limited and I am not sure about my decision for this one."
25,8,15,2020-04-30 08:53:21.624594+00:00,2,12,Both provide automation of smart home devices. Repo 1 seems to be a standard/ open source protocol while Repo 2 is clearly proprietary.
26,8,16,2020-04-30 08:54:34.125125+00:00,1,0,Repo 1 is only a collection of other repositories. 
27,8,17,2020-04-30 08:55:30.074462+00:00,1,0,
28,8,18,2020-04-30 08:56:48.571990+00:00,1,0,
29,8,19,2020-04-30 08:57:23.263294+00:00,1,0,
30,8,20,2020-04-30 09:00:14.274876+00:00,3,2,"Repo 1 seems to be about encryption, while Repo 2 is about Bitcoin. May be they can benefit from each other, but I am not sure due to my limited background knowledge in both domains."
31,8,21,2020-04-30 09:00:43.640251+00:00,1,0,
32,8,22,2020-04-30 09:03:35.535744+00:00,1,0,
33,8,23,2020-04-30 09:05:15.150074+00:00,4,2,They are different modules of the same course (Data science). 
34,8,24,2020-04-30 09:06:18.255028+00:00,1,0,
35,8,25,2020-04-30 09:06:45.823217+00:00,1,0,
36,8,26,2020-04-30 09:08:22.149835+00:00,1,0,They are the same repositories. 
37,8,27,2020-04-30 09:11:18.178888+00:00,3,12,Repo 1 can use the location features from Repo 2 to create more detailed motion profiles. 
38,8,28,2020-04-30 09:11:42.985591+00:00,1,0,
40,8,30,2020-04-30 09:13:42.598063+00:00,1,0,Repo 2 is only a collection of other repositories.
39,8,29,2020-04-30 09:13:02.911268+00:00,1,0,Insufficient background knowledge.
41,15,31,2020-04-30 09:18:38.513456+00:00,4,12,"Repo 1 provides a forward-merge that can automatically merge unchecked branches. However, it is possible only for branches without any merge conflicts. May be the interactive-merge from Repo 2 can be helpful to resolve conflicts on the fly?"
42,15,32,2020-04-30 09:20:43.215141+00:00,3,12,Pattern matching from Repo 2 can be integrated into the automatic tests from Repo 1 
43,15,33,2020-04-30 09:21:42.004035+00:00,1,0,
44,15,34,2020-04-30 09:26:53.111779+00:00,2,21,"Repo 1 is only limited to a specific driver version for Raspberry Pi LED controls, and is not efficient (educational purpose only). Repo 2 is more complete by including automation of many more devices. If Repo 2 does not support Pi devices, may be Repo 1 can be used as a starting point."
45,15,35,2020-04-30 09:27:52.489028+00:00,4,2,Can be combined into a new Django application with better admin panels and model behaviours.
46,19,61,2020-04-30 09:44:19.507526+00:00,1,0,"RSOCKS is a reverse Proxy, cpppo a parser who parses commands into binary and send it via TCP/IP to an e.g L35E Maschine.
Yes, they both use TCP/IP but RSOCKS manages Network packages and cpppo translates commands."
47,19,62,2020-04-30 09:54:42.592621+00:00,3,21,"You can extend the OSXCollector with  EAPEAK.  An extended OSXCollector, would be able to analyze the wireless network and can give a reason why the computer would be infected e.g by an insecure wireless network."
48,15,36,2020-04-30 10:41:40.855782+00:00,1,0,
49,15,37,2020-04-30 10:42:18.002772+00:00,1,0,
50,19,63,2020-04-30 10:52:43.771068+00:00,1,0,"SaltStack is a system to manged and configures server farms. Feature pyramid network is a feature extractor designed for such a pyramid concept with accuracy and speed in mind, it's a neuronal network concept."
51,15,38,2020-04-30 11:06:13.297910+00:00,1,0,
52,15,39,2020-04-30 11:07:01.480440+00:00,3,21,Visualization of simulation results from Repo 2 can use Repo 1
53,19,64,2020-04-30 11:07:51.453459+00:00,3,12,After finishing digitizing the historical map for Minecraft you can use MCprep to make the Minecraft version of the historical map more beautiful.
54,15,40,2020-04-30 11:15:27.995064+00:00,1,0,README unclear.
55,15,41,2020-04-30 11:15:39.635040+00:00,1,0,
56,15,42,2020-04-30 11:15:53.918022+00:00,1,0,
